[2026-06-02 10:47:57] [SEARCH] provider=duckduckgo | cache_hit=False | status=failure | error="DuckDuckGo search failed: ConnectError: ConnectError('error sending request for url (https://www.mojeek.com/search?q=open+source+AI+tools+India+2024) > client error (Connect) > dns error > protocol error: decoding error: incorrect rdata length read: 2 expected: 1')" | duration=8.824s | query="open source AI tools India 2024"
[2026-06-02 10:47:57] [SEARCH] provider=none | cache_hit=False | status=failed | results=0 | duration=8.825s | query="open source AI tools India 2024"
[2026-06-02 10:48:37] [SEARCH] provider=cache | cache_hit=True | status=success | results=1 | duration=0.001s | query="__fresh_search_seed_test__"
[2026-06-02 10:49:17] [SEARCH] provider=cache | cache_hit=True | status=success | results=1 | duration=0.002s | query="__fresh_search_seed_test__"
[2026-06-02 10:49:17] [SEARCH] provider=cache | cache_hit=True | status=success | results=1 | duration=0.0s | query="__fresh_search_seed_test__"
[2026-06-02 10:49:24] [SEARCH] provider=duckduckgo | cache_hit=False | status=failure | error="DuckDuckGo search failed: ConnectError: ConnectError('error sending request for url (https://search.brave.com/search?q=__nonexistent_query_1780377557480__&source=web) > client error (Connect) > dns error > protocol error: decoding error: incorrect rdata length read: 2 expected: 1')" | duration=7.449s | query="__nonexistent_query_1780377557480__"
[2026-06-02 10:49:24] [SEARCH] provider=none | cache_hit=False | status=failed | results=0 | duration=7.451s | query="__nonexistent_query_1780377557480__"
[2026-06-02 11:22:08] [SEARCH] provider=duckduckgo | cache_hit=False | status=success | results=1 | duration=9.36s | query=""AI implementation" companies India Delhi"
[2026-06-02 11:22:16] [SEARCH] provider=duckduckgo | cache_hit=False | status=success | results=1 | duration=8.355s | query=""Digital transformation India" companies India Delhi"
[2026-06-02 11:22:24] [SEARCH] provider=duckduckgo | cache_hit=False | status=success | results=2 | duration=7.882s | query=""Machine learning solutions" companies India Delhi"
[2026-06-02 11:24:30] [SEARCH] provider=duckduckgo | cache_hit=False | status=success | results=4 | duration=5.935s | query=""AI adoption" companies India Bengaluru"
[2026-06-02 11:24:30] [SEARCH] provider=cache | cache_hit=True | status=success | results=1 | duration=0.002s | query=""Digital transformation India" companies India Delhi"
[2026-06-02 11:24:38] [SEARCH] provider=duckduckgo | cache_hit=False | status=success | results=2 | duration=7.238s | query=""Machine learning solutions" companies India Hyderabad"
